"b:tnow in s";"s:Vac_ist";"s:id_ref";"s:iq_ref"
0.222000;1.002411;0.498797;-0.498797
0.223000;1.002411;0.498797;-0.498797
0.224000;1.002411;0.498797;-0.498797
0.225000;1.002411;0.498797;-0.498797
0.226000;1.002411;0.498797;-0.498797
0.227000;1.002411;0.498797;-0.498797
0.228000;1.002411;0.498797;-0.498797
0.229000;1.002411;0.498797;-0.498797
0.230000;1.002411;0.498797;-0.498797
0.231000;1.002411;0.498797;-0.498797
0.232000;1.002411;0.498797;-0.498797
0.233000;1.002411;0.498797;-0.498797
0.234000;1.002411;0.498797;-0.498797
0.235000;1.002411;0.498797;-0.498797
0.236000;1.002411;0.498797;-0.498797
0.237000;1.002411;0.498797;-0.498797
0.238000;1.002411;0.498797;-0.498797
0.239000;1.002411;0.498797;-0.498797
0.240000;1.002411;0.498797;-0.498797
0.241000;1.002411;0.498797;-0.498797
0.242000;1.002411;0.498797;-0.498797
0.243000;1.002411;0.498797;-0.498797
0.244000;1.002411;0.498797;-0.498797
0.245000;1.002411;0.498797;-0.498797
0.246000;1.002411;0.498797;-0.498797
0.247000;1.002411;0.498797;-0.498797
0.248000;1.002411;0.498797;-0.498797
0.249000;1.002411;0.498797;-0.498797
0.250000;1.002411;0.498797;-0.498797
0.251000;1.002411;0.498797;-0.498797
0.252000;1.002411;0.498797;-0.498797
0.253000;1.002411;0.498797;-0.498797
0.254000;1.002411;0.498797;-0.498797
0.255000;1.002411;0.498797;-0.498797
0.256000;1.002411;0.498797;-0.498797
0.257000;1.002411;0.498797;-0.498797
0.258000;1.002411;0.498797;-0.498797
0.259000;1.002411;0.498797;-0.498797
0.260000;1.002411;0.498797;-0.498797
0.261000;1.002411;0.498797;-0.498797
0.262000;1.002411;0.498797;-0.498797
0.263000;1.002411;0.498797;-0.498797
0.264000;1.002411;0.498797;-0.498797
0.265000;1.002411;0.498797;-0.498797
0.266000;1.002411;0.498797;-0.498797
0.267000;1.002411;0.498797;-0.498797
0.268000;1.002411;0.498797;-0.498797
0.269000;1.002411;0.498797;-0.498797
0.270000;1.002411;0.498797;-0.498797
0.271000;1.002411;0.498797;-0.498797
0.272000;1.002411;0.498797;-0.498797
0.273000;1.002411;0.498797;-0.498797
0.274000;1.002411;0.498797;-0.498797
0.275000;1.002411;0.498797;-0.498797
0.276000;1.002411;0.498797;-0.498797
0.277000;1.002411;0.498797;-0.498797
0.278000;1.002411;0.498797;-0.498797
0.279000;1.002411;0.498797;-0.498797
0.280000;1.002411;0.498797;-0.498797
0.281000;1.002411;0.498797;-0.498797
0.282000;1.002411;0.498797;-0.498797
0.283000;1.002411;0.498797;-0.498797
0.284000;1.002411;0.498797;-0.498797
0.285000;1.002411;0.498797;-0.498797
0.286000;1.002411;0.498797;-0.498797
0.287000;1.002411;0.498797;-0.498797
0.288000;1.002411;0.498797;-0.498797
0.289000;1.002411;0.498797;-0.498797
0.290000;1.002411;0.498797;-0.498797
0.291000;1.002411;0.498797;-0.498797
0.292000;1.002411;0.498797;-0.498797
0.293000;1.002411;0.498797;-0.498797
0.294000;1.002411;0.498797;-0.498797
0.295000;1.002411;0.498797;-0.498797
0.296000;1.002411;0.498797;-0.498797
0.297000;1.002411;0.498797;-0.498797
0.298000;1.002411;0.498797;-0.498797
0.299000;1.002411;0.498797;-0.498797
0.300000;1.002411;0.498797;-0.498797
0.301000;1.002411;0.498797;-0.498797
0.302000;1.002411;0.498797;-0.498797
0.303000;1.002411;0.498797;-0.498797
0.304000;1.002411;0.498797;-0.498797
0.305000;1.002411;0.498797;-0.498797
0.306000;1.002411;0.498797;-0.498797
0.307000;1.002411;0.498797;-0.498797
0.308000;1.002411;0.498797;-0.498797
0.309000;1.002411;0.498797;-0.498797
0.310000;1.002411;0.498797;-0.498797
0.311000;1.002411;0.498797;-0.498797
0.312000;1.002411;0.498797;-0.498797
0.313000;1.002411;0.498797;-0.498797
0.314000;1.002411;0.498797;-0.498797
0.315000;1.002411;0.498797;-0.498797
0.316000;1.002411;0.498797;-0.498797
0.317000;1.002411;0.498797;-0.498797
0.318000;1.002411;0.498797;-0.498797
0.319000;1.002411;0.498797;-0.498797
0.320000;1.002411;0.498797;-0.498797
0.321000;1.002411;0.498797;-0.498797
0.322000;1.002411;0.498797;-0.498797
0.323000;1.002411;0.498797;-0.498797
0.324000;1.002411;0.498797;-0.498797
0.325000;1.002411;0.498797;-0.498797
0.326000;1.002411;0.498797;-0.498797
0.327000;1.002411;0.498797;-0.498797
0.328000;1.002411;0.498797;-0.498797
0.329000;1.002411;0.498797;-0.498797
0.330000;1.002411;0.498797;-0.498797
0.331000;1.002411;0.498797;-0.498797
0.332000;1.002411;0.498797;-0.498797
0.333000;1.002411;0.498797;-0.498797
0.334000;1.002411;0.498797;-0.498797
0.335000;1.002411;0.498797;-0.498797
0.336000;1.002411;0.498797;-0.498797
0.337000;1.002411;0.498797;-0.498797
0.338000;1.002411;0.498797;-0.498797
0.339000;1.002411;0.498797;-0.498797
0.340000;1.002411;0.498797;-0.498797
0.341000;1.002411;0.498797;-0.498797
0.342000;1.002411;0.498797;-0.498797
0.343000;1.002411;0.498797;-0.498797
0.344000;1.002411;0.498797;-0.498797
0.345000;1.002411;0.498797;-0.498797
0.346000;1.002411;0.498797;-0.498797
0.347000;1.002411;0.498797;-0.498797
0.348000;1.002411;0.498797;-0.498797
0.349000;1.002411;0.498797;-0.498797
0.350000;1.002411;0.498797;-0.498797
0.351000;1.002411;0.498797;-0.498797
0.352000;1.002411;0.498797;-0.498797
0.353000;1.002411;0.498797;-0.498797
