V,V_matlab,A,A_matlab,s_real,s_real_matlab,s_imag,s_imag_matlab,real,imag
110.0,110.0,0.0,0.0,24.40048903027117,-24.40048903027117,9.39761634666315,-9.39761634666315,110.0,0.0
20.42197309348809,20.42197309348809,-6.977282751903433,-6.977282751903433,-19.83899999999998,19.83899999999999,-4.636994095910282,4.636994095910353,20.27073600076704,-2.480775487293975
19.96227187018379,19.96227187018379,-7.964797543217193,-7.964797543217193,-7.901560850025611e-14,6.63701034376581e-14,1.1055417859282505e-14,2.6519389887338545e-14,19.76970361101147,-2.766065319527212
19.243332566834063,19.243332566834063,-9.584912831459762,-9.584912831459762,-0.5017000000001783,0.5017000000002398,-0.20888000609140442,0.20888000609125534,18.974694038550645,-3.204190134989971
19.207272096840978,19.207272096840978,-9.68221933407819,-9.68221933407819,-0.4316500000000402,0.4316500000000402,-0.1081799890524211,0.1081799890524211,18.933678126253582,-3.2303458040142803
19.182555415671654,19.182555415671654,-9.749191189713839,-9.749191189713839,-0.727500000000099,0.7275000000001152,-0.18232995891485132,0.1823299589147448,18.90552957417638,-3.248289364458796
19.153325508099964,19.153325508099964,-9.82851761867538,-9.82851761867538,-0.5480499999999883,0.5480499999999883,-0.13735020411333457,0.13735020411333457,18.87221327348727,-3.269471544339192
19.130281757837913,19.130281757837913,-9.826660042025669,-9.826660042025669,-0.07650000000000332,0.07650000000000332,-0.04740999969155172,0.04740999969155172,18.849613596536397,-3.2649268591403824
19.135683998086293,19.135683998086293,-9.816651082365038,-9.816651082365038,-0.5868499999996427,0.5868499999998205,-0.14707975674995954,0.1470797567497908,18.85550679947308,-3.2625550431587067
19.116599110329147,19.116599110329147,-9.854068007426363,-9.854068007426363,-0.5737500000001956,0.5737500000001519,-0.3555799723932541,0.35557997239339956,18.83456884680975,-3.271601733069108
19.092257195744125,19.092257195744125,-9.915611153452769,-9.915611153452769,-0.5432999999998821,0.5432999999998153,-0.16126012528950878,0.16126012528952044,18.807065549039244,-3.2876390103818425
19.088412568329616,19.088412568329616,-9.925787879801746,-9.925787879801746,-0.32979999999996334,0.32979999999996334,-0.08265999670262121,0.08265999670262121,18.802694230115357,-3.2903167123471104
